epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.15313,2.75588,4.41468,2.58992,0.00167,0.5,0.0042,0.00151,2.9958,3.59318,3.05612,0,0,0
2,5.47754,2.85518,3.33918,2.71952,0.00333,1,0.00834,0.00201,3.09671,3.49558,3.10882,1.9604e-05,1.9604e-05,1.9604e-05
3,7.69822,2.98389,3.41943,2.74926,0.00333,1,0.00979,0.00291,3.00026,3.62747,3.04096,3.8416e-05,3.8416e-05,3.8416e-05
4,9.93783,2.93797,3.72823,2.57642,0.00333,1,0.01496,0.00508,2.69623,3.48009,2.88834,5.6436e-05,5.6436e-05,5.6436e-05
5,12.2316,2.47244,3.34921,2.31009,0.00333,1,0.01487,0.00627,2.09046,3.42797,2.65061,7.3664e-05,7.3664e-05,7.3664e-05
6,14.4416,2.66722,3.64921,2.25753,0.00333,1,0.01318,0.00628,1.85937,3.27258,2.40928,9.01e-05,9.01e-05,9.01e-05
7,16.7552,1.96904,3.06604,1.70945,0.00333,1,0.01716,0.00965,1.53553,3.2036,2.09299,0.000105744,0.000105744,0.000105744
8,19.0017,1.70099,3.28786,1.63396,0.00333,1,0.0425,0.01178,1.39446,3.06277,1.95829,0.000120596,0.000120596,0.000120596
9,21.3141,1.8087,2.87488,1.74545,0.00333,1,0.0603,0.02634,1.5321,2.96585,1.94419,0.000134656,0.000134656,0.000134656
10,23.566,1.38361,2.86319,1.38125,0.00333,1,0.09045,0.02536,1.34459,2.91264,1.8804,0.000147924,0.000147924,0.000147924
11,25.8844,1.36654,2.6289,1.40625,0.00333,1,0.22375,0.08621,1.16997,2.94478,1.68822,0.0001604,0.0001604,0.0001604
12,28.2286,1.19479,2.70387,1.38703,0.00333,1,0.745,0.28847,1.22195,2.90266,1.4073,0.000172084,0.000172084,0.000172084
13,30.6008,1.1126,2.70016,1.25065,0.00333,1,0.995,0.33158,1.22675,2.91808,1.34622,0.000182976,0.000182976,0.000182976
14,32.9275,1.14284,2.51487,1.19714,0.00333,1,0.995,0.44434,1.13756,2.86684,1.24853,0.000193076,0.000193076,0.000193076
15,35.2255,0.96705,2.44113,1.19212,0.00333,1,0.995,0.48414,1.05943,2.77441,1.24061,0.000202384,0.000202384,0.000202384
