epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.0645,3.01424,4.03754,2.77498,0.00333,1,0.01658,0.0043,2.66646,4.05929,2.72576,0,0,0
2,5.39797,2.7631,3.4291,2.41954,0.00167,0.5,0.00473,0.00252,2.87786,3.94906,2.69843,1.9604e-05,1.9604e-05,1.9604e-05
3,7.59781,2.71318,3.76976,2.39913,0.00167,0.5,0.00514,0.00237,3.1417,4.42351,2.75014,3.8416e-05,3.8416e-05,3.8416e-05
4,9.85264,2.59397,3.68739,2.42846,0.00167,0.5,0.00625,0.00239,3.34782,4.27639,2.89836,5.6436e-05,5.6436e-05,5.6436e-05
5,12.0414,2.53411,3.46177,2.1724,0.00333,1,0.01051,0.00247,3.39572,4.31824,2.84923,7.3664e-05,7.3664e-05,7.3664e-05
6,14.2025,2.75924,3.64756,2.17208,0.00333,1,0.00911,0.00289,3.20733,4.24885,2.81462,9.01e-05,9.01e-05,9.01e-05
7,16.3903,1.76922,3.27049,1.55195,0.00333,1,0.17971,0.01916,3.29794,3.50165,2.75065,0.000105744,0.000105744,0.000105744
8,18.5649,1.91287,3.03518,1.64169,0.00333,1,0.0258,0.0043,3.21001,3.67518,2.75349,0.000120596,0.000120596,0.000120596
9,20.8082,1.62292,2.92568,1.46935,0.00333,1,0.51826,0.06926,2.81721,3.69746,2.61171,0.000134656,0.000134656,0.000134656
10,23.0112,1.15906,2.77109,1.21244,0.00333,1,0.21262,0.07588,2.34375,3.14377,2.13629,0.000147924,0.000147924,0.000147924
11,25.2486,1.14206,2.7333,1.29299,0.00333,1,0.66333,0.19164,1.50105,3.14372,1.53266,0.0001604,0.0001604,0.0001604
12,27.4422,1.1963,2.72356,1.31961,0.00333,1,0.66333,0.25518,1.29478,2.98075,1.43429,0.000172084,0.000172084,0.000172084
13,29.6621,1.22675,2.67795,1.38749,0.00333,1,0.66333,0.18629,1.27629,2.89113,1.35942,0.000182976,0.000182976,0.000182976
14,31.8939,1.21188,2.51461,1.16866,0.00333,1,0.82833,0.26098,1.29516,2.9203,1.36473,0.000193076,0.000193076,0.000193076
15,34.1729,1.12593,2.44201,1.2544,0.00333,1,0.995,0.32655,1.33258,2.91974,1.35006,0.000202384,0.000202384,0.000202384
16,36.4426,1.14699,2.54813,1.17046,0.00333,1,0.82833,0.32304,1.43803,2.86903,1.39427,0.0002109,0.0002109,0.0002109
17,38.6622,1.01909,2.41956,1.38149,0.00333,1,0.82833,0.42076,1.22048,2.85432,1.34809,0.000218624,0.000218624,0.000218624
18,40.8555,1.11585,2.29532,1.19863,0.00333,1,0.82833,0.42076,1.22048,2.85432,1.34809,0.000225556,0.000225556,0.000225556
19,43.1055,1.14948,2.41593,1.30006,0.00333,1,0.995,0.59684,1.11759,2.80295,1.1965,0.000231696,0.000231696,0.000231696
20,45.2599,1.07202,2.29908,1.31288,0.00333,1,0.995,0.59684,1.11759,2.80295,1.1965,0.000237044,0.000237044,0.000237044
21,47.5465,1.00729,2.34539,1.21871,0.00333,1,0.995,0.59144,0.97794,2.87749,1.13217,0.0002416,0.0002416,0.0002416
22,49.6734,1.14501,2.23011,1.18273,0.00333,1,0.995,0.59144,0.97794,2.87749,1.13217,0.000245364,0.000245364,0.000245364
23,51.9117,1.33927,2.23887,1.14148,0.00333,1,0.995,0.44275,1.08567,2.95903,1.1796,0.000248336,0.000248336,0.000248336
24,54.0888,0.83628,2.0169,1.10845,0.00333,1,0.995,0.44275,1.08567,2.95903,1.1796,0.000250516,0.000250516,0.000250516
25,56.6954,1.13779,2.22954,1.22254,0.00333,1,0.995,0.38804,1.01958,2.92022,1.16458,0.000251904,0.000251904,0.000251904
26,59.1184,1.10153,2.05155,1.17944,0.00333,1,0.995,0.38804,1.01958,2.92022,1.16458,0.0002525,0.0002525,0.0002525
27,61.7206,0.97973,1.85691,1.20858,0.00333,1,0.995,0.33095,0.99539,2.85964,1.13081,0.000252304,0.000252304,0.000252304
28,64.1516,1.22648,1.95651,1.33111,0.00333,1,0.995,0.33095,0.99539,2.85964,1.13081,0.000251316,0.000251316,0.000251316
29,66.7759,1.21741,2.36379,1.32147,0.00333,1,0.82833,0.4475,0.94132,2.79147,1.0934,0.000249536,0.000249536,0.000249536
30,69.1812,1.01671,1.80732,1.15003,0.00333,1,0.82833,0.4475,0.94132,2.79147,1.0934,0.000246964,0.000246964,0.000246964
31,71.7204,1.14322,1.76152,1.12712,0.00333,1,0.995,0.58025,0.99357,2.766,1.08901,0.0002436,0.0002436,0.0002436
32,74.1055,1.10974,1.96355,1.10536,0.00333,1,0.995,0.58025,0.99357,2.766,1.08901,0.000239444,0.000239444,0.000239444
33,76.7625,1.16733,1.8412,1.11943,0.00333,1,0.995,0.62179,1.0141,2.74284,1.10789,0.000234496,0.000234496,0.000234496
34,79.1765,1.27664,1.81462,1.31155,0.00333,1,0.995,0.62179,1.0141,2.74284,1.10789,0.000228756,0.000228756,0.000228756
35,81.7298,0.86121,1.54175,1.05249,0.00333,1,0.995,0.597,1.06027,2.74259,1.13837,0.000222224,0.000222224,0.000222224
36,84.1615,1.04342,1.78543,1.17291,0.00333,1,0.995,0.597,1.06027,2.74259,1.13837,0.0002149,0.0002149,0.0002149
37,86.8913,0.9833,1.52734,1.0018,0.00333,1,0.995,0.50992,1.0461,2.72052,1.13583,0.000206784,0.000206784,0.000206784
38,89.3684,0.94042,1.52316,1.01215,0.00333,1,0.995,0.50992,1.0461,2.72052,1.13583,0.000197876,0.000197876,0.000197876
39,91.9525,0.9952,1.58243,1.13216,0.00333,1,0.995,0.50992,1.05037,2.70984,1.14219,0.000188176,0.000188176,0.000188176
40,94.4496,0.85924,1.50876,1.06479,0.00333,1,0.995,0.50992,1.05037,2.70984,1.14219,0.000177684,0.000177684,0.000177684
41,96.9489,0.74236,2.03451,1.16863,0.00333,1,0.995,0.52229,1.19476,2.68134,1.22026,0.0001664,0.0001664,0.0001664
42,99.4548,0.6375,2.10167,1.13474,0.00333,1,0.995,0.52229,1.19476,2.68134,1.22026,0.000154324,0.000154324,0.000154324
43,101.975,1.00863,2.08136,1.06559,0.00333,1,0.995,0.64658,1.21863,2.58594,1.1192,0.000141456,0.000141456,0.000141456
44,104.464,0.78321,1.92554,1.00942,0.00333,1,0.995,0.64658,1.21863,2.58594,1.1192,0.000127796,0.000127796,0.000127796
45,106.936,0.77138,2.23319,1.08582,0.00333,1,0.995,0.72129,0.7797,2.51053,1.1039,0.000113344,0.000113344,0.000113344
46,109.415,0.89301,2.00643,1.00159,0.00333,1,0.995,0.72129,0.7797,2.51053,1.1039,9.81e-05,9.81e-05,9.81e-05
47,111.814,0.95779,2.02626,1.10224,0.01518,1,0.995,0.84554,0.76284,2.4586,1.06445,8.2064e-05,8.2064e-05,8.2064e-05
48,114.311,0.69947,1.90546,0.98372,0.01518,1,0.995,0.84554,0.76284,2.4586,1.06445,6.5236e-05,6.5236e-05,6.5236e-05
49,116.786,0.82837,2.04215,1.05292,0.594,1,0.995,0.82079,0.84328,2.40886,1.01316,4.7616e-05,4.7616e-05,4.7616e-05
50,119.236,0.68404,1.89637,1.06828,0.594,1,0.995,0.82079,0.84328,2.40886,1.01316,2.9204e-05,2.9204e-05,2.9204e-05
